state,infected,deaths,population,pop_density,gini,icu_beds,unemployment,hospitals,health_spending,pollution,Med-large_airports,total_vaccines_administered,recipients_one_dose,fully_vaccinated
New York,6031598,70733,19440469,412.5211,0.5229,3952,3.7,166,9778,6.6,3.0,37747898.0,17276912.0,14667298.0
North Carolina,3162491,26424,10611862,218.2702,0.478,2227,3.6,112,7264,7.2,2.0,16087180.0,8616580.0,6214836.0
North Dakota,266273,2401,761723,11.0393,0.4533,238,2.2,39,9851,4.6,0.0,1062988.0,490919.0,414566.0
Ohio,3096557,39576,11747694,287.5038,0.468,3314,4.1,194,8712,8.5,3.0,17195084.0,7343557.0,6724932.0
Oklahoma,1186780,14765,3954821,57.6547,0.4645,1064,3.2,125,7627,8.2,0.0,5713651.0,2767253.0,2214720.0
Oregon,885963,8492,4301089,44.8086,0.4583,659,3.3,61,8044,7.8,1.0,7424941.0,3241951.0,2892814.0
Pennsylvania,3220994,46970,12820878,286.5449,0.4689,3169,4.7,199,9258,9.2,2.0,22046766.0,10653120.0,8559178.0
Rhode Island,420175,3652,1056161,1021.4323,0.4781,279,3.4,11,9551,7.3,0.0,2125909.0,1018609.0,853229.0
South Carolina,1696746,18316,5210095,173.3174,0.4735,1225,2.5,69,7311,7.4,0.0,7253946.0,3419999.0,2870932.0
South Dakota,259683,3014,903027,11.9116,0.4495,152,3.3,57,8933,5.1,0.0,1352959.0,662041.0,528863.0
Tennessee,2263911,27267,6897576,167.2748,0.479,2209,3.4,115,7372,7.4,1.0,9577064.0,4185761.0,3654266.0
Texas,7826318,90673,29472295,112.8204,0.48,6199,3.5,523,6998,8.3,6.0,44254223.0,20536806.0,17374227.0
Utah,1032402,4989,3282115,39.94300000000001,0.4063,565,2.5,54,5982,8.4,1.0,5062117.0,2281759.0,2027921.0
Vermont,141282,715,628061,68.1416,0.4539,94,2.4,14,10190,5.1,0.0,1344313.0,579333.0,499883.0
Virginia,2066675,21646,8626207,218.4403,0.4705,1654,2.6,96,7556,6.9,2.0,15848582.0,7202040.0,6135445.0
Washington,1796368,14195,7797095,117.3272,0.4591,1265,3.8,92,7913,8.0,1.0,13818660.0,6065279.0,5431648.0
West Virginia,593806,7351,1778070,73.9691,0.4711,653,4.9,56,9462,7.6,0.0,2631484.0,1149309.0,1016453.0
Wisconsin,1848935,15160,5851754,108.0497,0.4498,1159,3.5,133,8702,6.8,1.0,9846287.0,4133936.0,3754939.0
Wyoming,175746,1888,567025,5.84,0.436,102,3.7,29,8320,5.0,0.0,730002.0,335348.0,292555.0
